country_id,country,iso_codes,scenario_presence,2003_vanilla_region_count,2003_vanilla_population,2003_vanilla_gdp_template_usd,2003_vanilla_global_gdp_scaling,2003_vanilla_gdp_effective_usd,2003_vanilla_gdp_per_capita,2003_imf_population,2003_us_gdp_deflator,2003_to_2022_usd_multiplier,2003_nominal_gdp_2022_usd,2003_nominal_gdp_per_capita_2022_usd,2003_ppp_gdp_2022_intl_dollars,2003_ppp_gdp_per_capita_2022_intl_dollars,2003_population_coverage,2003_nominal_coverage,2003_ppp_coverage,2022_vanilla_region_count,2022_vanilla_population,2022_vanilla_gdp_template_usd,2022_vanilla_global_gdp_scaling,2022_vanilla_gdp_effective_usd,2022_vanilla_gdp_per_capita,2022_imf_population,2022_us_gdp_deflator,2022_to_2022_usd_multiplier,2022_nominal_gdp_2022_usd,2022_nominal_gdp_per_capita_2022_usd,2022_ppp_gdp_2022_intl_dollars,2022_ppp_gdp_per_capita_2022_intl_dollars,2022_population_coverage,2022_nominal_coverage,2022_ppp_coverage,2026_vanilla_region_count,2026_vanilla_population,2026_vanilla_gdp_template_usd,2026_vanilla_global_gdp_scaling,2026_vanilla_gdp_effective_usd,2026_vanilla_gdp_per_capita,2026_imf_population,2026_us_gdp_deflator,2026_to_2022_usd_multiplier,2026_nominal_gdp_2022_usd,2026_nominal_gdp_per_capita_2022_usd,2026_ppp_gdp_2022_intl_dollars,2026_ppp_gdp_per_capita_2022_intl_dollars,2026_population_coverage,2026_nominal_coverage,2026_ppp_coverage,quality_flags,imf_source_url
POL,Poland,POL,2003|2022|2026,3,38203524,298056140351,1.59,473909263158,12405,38218531,77.006115,1.532642193415419,334976314674,8765,786247267534,20572,complete,complete,complete,3,37723292,1386683760000,1,1386683760000,36759,36889761,118.022821,1,695733607000,18860,1741733232000,47215,complete,complete,complete,3,37843189,1777406400000,0.87,1546343568000,40862,36196374,132.681448,0.8895201460267452,1008936250007,27874,1925162656851,53187,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PLS,Polynesian States,WSM+TON,2003|2022|2026,1,314616,616374269,1.59,980035088,3115,278393,77.006115,1.532642193415419,834168101,2996,1574854225,5657,complete,complete,complete,1,340676,1995399715,1,1995399715,5857,306695,118.022821,1,1442854000,4705,1978859000,6452,complete,complete,complete,1,346007,2482039715,0.87,2159374552,6241,312209,132.681448,0.8895201460267452,1861534390,5962,2434332883,7797,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
PRT,Portugal,PRT,2003|2022|2026,2,10454245,143287134503,1.59,227826543860,21793,10458820,77.006115,1.532642193415419,253169099167,24206,376654174182,36013,complete,complete,complete,2,10132498,369293760000,1,369293760000,36446,10468870,118.022821,1,257100900000,24559,461454258000,44079,complete,complete,complete,2,10395362,471764480000,0.87,410435097600,39483,10742283,132.681448,0.8895201460267452,338584423036,31519,504919859359,47003,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
COR,Republic of the Congo,COG,2003|2022|2026,1,3445753,7251461988,1.59,11529824561,3346,3424653,77.006115,1.532642193415419,5920866538,1729,19004277351,5549,complete,complete,complete,1,5842157,19816720000,1,19816720000,3392,5970424,118.022821,1,13967432000,2339,36316443000,6083,complete,complete,complete,1,6637786,37631440000,0.87,32739352800,4932,6667724,132.681448,0.8895201460267452,15147187580,2272,39809955545,5971,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
ROM,Romania,ROU,2003|2022|2026,2,21593450,140076023392,1.59,222720877193,10314,21627509,77.006115,1.532642193415419,88571419945,4095,367272549461,16982,complete,complete,complete,2,19003504,622817360000,1,622817360000,32774,19043098,118.022821,1,295890909000,15538,808198638000,42441,complete,complete,complete,2,18800605,815547920000,0.87,709526690400,37740,18714611,132.681448,0.8895201460267452,427711535232,22854,845385557906,45172,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
RUS,Russia,RUS,2003|2022|2026,20,148211088,1139083625731,1.59,1811142964912,12220,145794230,77.006115,1.532642193415419,707342652575,4852,2985331536570,20476,complete,complete,complete,20,148189354,3841589840000,1,3841589840000,25924,145579899,118.022821,1,2296410367000,15774,6005386655000,41251,complete,complete,complete,20,145811313,6285921840000,0.87,5468752000800,37506,143394458,132.681448,0.8895201460267452,2362967744409,16479,6693780517433,46681,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
RWB,Rwanda-Burundi,BDI+RWA,2003|2022|2026,1,15630029,6507017544,1.59,10346157895,662,15343154,77.006115,1.532642193415419,4525038715,295,16954961550,1105,complete,complete,complete,1,26444435,42231200000,1,42231200000,1597,26567097,118.022821,1,17665614000,665,55462074000,2088,complete,complete,complete,1,29618850,63440960000,0.87,55193635200,1863,29374296,132.681448,0.8895201460267452,22658779592,771,71894326327,2448,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
STP,Sao Tome and Principe,STP,2003|2022|2026,1,153814,174853801,1.59,278017544,1807,153814,77.006115,1.532642193415419,146434766,952,458995684,2984,complete,complete,complete,1,229013,935440000,1,935440000,4085,226305,118.022821,1,545871000,2412,1365235000,6033,complete,complete,complete,1,244994,1367520000,0.87,1189742400,4856,244994,132.681448,0.8895201460267452,1032810278,4216,1462717143,5970,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SAU,Saudi Arabia,SAU,2003|2022|2026,3,18786767,398103508772,1.59,632984578947,33693,19569200,77.006115,1.532642193415419,330756037261,16902,1061795250884,54258,complete,complete,complete,3,36000289,1762236960000,1,1762236960000,48951,32175224,118.022821,1,1239075467000,38510,2315220036000,71957,complete,complete,complete,3,35165787,2365897600000,0.87,2058330912000,58532,36726411,132.681448,0.8895201460267452,1235255293426,33634,2574797891412,70108,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SEG,Senegal,SEN,2003|2022|2026,1,10721176,12786549708,1.59,20330614036,1896,10541470,77.006115,1.532642193415419,13435947637,1275,33510987065,3179,complete,complete,complete,1,17798049,63660080000,1,63660080000,3577,17676280,118.022821,1,27843013000,1575,79950651000,4523,complete,complete,complete,1,19366548,92778400000,0.87,80717208000,4168,19699619,132.681448,0.8895201460267452,35998123328,1827,97521553842,4950,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
