country_id,country,iso_codes,2003_vanilla_gdp_per_capita,2003_nominal_gdp_per_capita_2022_usd,2003_ppp_gdp_per_capita_2022_intl_dollars,2022_vanilla_gdp_per_capita,2022_nominal_gdp_per_capita_2022_usd,2022_ppp_gdp_per_capita_2022_intl_dollars,2026_vanilla_gdp_per_capita,2026_nominal_gdp_per_capita_2022_usd,2026_ppp_gdp_per_capita_2022_intl_dollars,quality_flags,imf_source_url
BEN,Benin,BEN,1793,1036,2972,3626,1267,3844,3508,1609,4526,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
BHU,Bhutan,BTN,3673,1496,6119,10970,3683,14229,13462,4329,17910,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
BOL,Bolivia,BOL,3953,1534,7828,8614,4250,12305,8653,5633,11290,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
BSM,Bosnia and Herzegovina,BIH,5302,3464,10008,16452,7078,19344,19336,9519,21458,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
BWA,Botswana,BWA,9256,6447,15257,16942,8329,19974,15575,7552,19605,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
BRA,Brazil,BRA,8387,4717,13766,15012,9256,19821,17829,10952,21729,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
BRU,Brunei,BRN,53764,32148,95190,74762,37459,83620,71435,32279,87047,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
BUL,Bulgaria,BGR,9109,4162,15020,28613,14069,35111,30394,21214,40600,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
BKF,Burkina Faso,BFA,1023,555,1686,2328,829,2645,2266,1173,2870,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
CPV,Cabo Verde,CPV,3508,3869,6253,6820,4445,9726,9105,5933,11843,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
KHM,Cambodia,KHM,1483,596,2394,4485,2294,6824,6364,2581,7908,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
CMR,Cameroon,CMR,2324,1512,3758,3841,1608,5188,4322,1891,5331,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
CAN,Canada,CAN,30454,43435,50571,50553,56609,61992,51512,53642,62272,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
CAF,Central African Republic,CAF,751,450,1327,964,500,1307,985,545,1306,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
TCD,Chad,TCD,1211,658,2035,1487,1037,2810,2012,1170,3076,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
CHL,Chile,CHL,11789,7383,19607,25971,15385,31624,27260,18004,33211,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
CHN,China,CHN,3239,1994,5462,18318,12989,23017,22225,13230,28105,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
COL,Colombia,COL,6813,3546,11307,16049,6688,20154,16884,8987,20971,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
RTK,Comoros,COM,2130,1470,3509,3089,1439,3570,3113,1735,3756,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
COD,Congo,COD,491,263,805,1166,727,1682,1320,998,1908,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
COS,Costa Rica,CRI,9662,6480,16130,21702,13576,26642,25008,18057,30383,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
CRS,Croatia,HRV,15711,12552,25922,31493,18479,42678,39712,26712,48353,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
CUB,Cuba,CUB,4557,,,12300,,,6815,,,"2003: pop=missing, nominal=missing, ppp=missing | 2022: pop=missing, nominal=missing, ppp=missing | 2026: pop=missing, nominal=missing, ppp=missing",https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
CZE,Czechia,CZE,19817,15108,32845,41782,27876,53440,47074,35399,56529,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
DEN,Denmark,DNK,34710,62183,58395,60070,68123,75046,66601,74226,79761,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
DJI,Djibouti,DJI,2166,1779,3823,5842,3506,7409,6346,3932,9043,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
DOM,Dominican Republic,DOM,6872,3771,11518,20237,10715,26033,22163,11035,28623,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
ECU,Ecuador,ECU,5838,3614,9799,11036,6556,15289,12458,6738,15762,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
EGY,Egypt,EGY,5761,1919,10873,12880,4587,19061,15181,3473,20745,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
ELS,El Salvador,SLV,4962,3384,8179,9298,5075,11874,10575,5511,13198,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
EQG,Equatorial Guinea,GNQ,14872,8236,29922,16605,9155,21832,12732,7251,16955,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
ERI,Eritrea,ERI,1267,397,2002,1839,,,1332,,,"2022: pop=missing, nominal=missing, ppp=missing | 2026: pop=missing, nominal=missing, ppp=missing",https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
EST,Estonia,EST,15927,11063,26256,39682,28363,47039,39247,33551,45946,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
ESW,Eswatini,SWZ,4279,3319,7444,8873,4216,11514,9841,4383,12671,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
ETH,Ethiopia,ETH,521,203,978,2495,1143,3460,2670,962,4424,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
FIN,Finland,FIN,30186,50507,49819,50871,50552,61818,50818,53487,61254,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
EUA,France,FRA+MCO+AND,28224,45540,47671,47310,41096,59169,49844,46331,61001,"2003: pop=partial, nominal=partial, ppp=partial | 2022: pop=partial, nominal=partial, ppp=partial | 2026: pop=partial, nominal=partial, ppp=partial",https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
LWG,Gabon,GAB,11298,7687,19854,14457,9478,22482,16612,8822,22992,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
GAM,Gambia,GMB,1546,819,2548,2316,805,3049,2746,848,3438,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
GEO,Georgia,GEO,4201,1586,7134,15343,6774,22604,22856,10295,30235,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
DEU,Germany,DEU,31545,47626,52383,55296,50944,69311,56325,58088,68268,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
GHA,Ghana,GHA,2191,1352,3611,5848,2230,7208,6329,2948,8109,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
GRE,Greece,GRC+CYP,21654,27865,38329,33373,21894,39789,31738,27640,43570,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
GTM,Guatemala,GTM,5552,2826,9151,8733,5359,13012,11416,6058,14251,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
GIN,Guinea,GIN,1428,792,2268,2798,1335,3890,3721,1644,4605,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
GNB,Guinea-Bissau,GNB,1274,667,2177,2235,908,2768,2206,1288,3109,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
GUS,Gulf States,QAT+BHR,45596,37931,82077,71360,63310,94373,77434,48907,87114,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
GUY,Guyana,GUY,5661,3286,9589,33517,16425,36406,68552,29503,84928,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
HTI,Haiti,HTI,2205,828,3538,2888,1643,3122,2429,2739,2662,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
HON,Honduras,HND,3111,1772,5128,5945,3003,6804,5886,3301,7314,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
HUN,Hungary,HUN,15925,12874,26162,36517,18500,43844,37092,25289,44983,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
ISL,Iceland,ISL,30848,61443,53152,69937,79953,75007,60442,97890,73590,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
IND,India,IND,2069,834,3357,7327,2280,8965,9184,2502,11387,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
IDN,Indonesia,IDN,4204,1818,7280,12558,4784,14444,13347,4769,16877,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
IRN,Iran,IRN,9047,4402,15726,16039,4761,18542,15440,3038,18039,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
IRQ,Iraq,IRQ,3485,933,5930,10627,6818,15051,11018,5050,12788,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
IRL,Ireland,IRL,38540,62745,63007,110806,104720,130402,105292,124698,141548,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
ISR,Israel,ISR,21582,30088,34412,46926,54984,51690,45232,62092,52566,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
ITA,Italy,ITA+MLT+SMR,31175,42304,52163,43589,35689,56831,47890,41440,58649,"2003: pop=partial, nominal=complete, ppp=complete",https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
